Date,Num_Children,Food_Remaining (kg),Daily_Need (kg),Food_Used (kg),Donation_Amount (Tsh),Expense_Total (Tsh),Budget_Left (Tsh),Food_Shortage (kg),Suggested_Purchase,Quantity_To_Buy,Estimated_Cost (Tsh),Emergency_Event,Medical_Treatment,Medical_Cost,Utility_Type,Utility_Cost,Staff_On_Duty,Notes,Food_Per_Child,Donation_Per_Child,Budget_Per_Child
2017-09-30,77,76,77,5,142903,107354,35549,1,Beans,1,1883,None,Diarrhea,25870,Water,34288,8,Check food/donations,0.06,1855.88,461.68
2004-11-28,67,98,67,18,36242,32965,3277,0,None,0,0,Sickness,Malaria,2424,Gas,43209,6,Stable,0.27,540.93,48.91
2014-08-10,72,100,72,31,2078,87596,-85518,0,None,0,0,Sickness,Malaria,21189,Electricity,45098,8,Check food/donations,0.43,28.86,-1187.75
2012-03-12,59,44,59,39,146979,73099,73880,15,Rice,15,27720,None,Flu,24410,Electricity,36793,3,Check food/donations,0.66,2491.17,1252.2
2012-12-25,64,94,64,11,60311,84886,-24575,0,None,0,0,None,None,0,Gas,24880,4,Check food/donations,0.17,942.36,-383.98
2003-12-12,76,62,76,11,7458,31046,-23588,14,Beans,14,22428,None,Fever,23758,Gas,21706,7,Check food/donations,0.14,98.13,-310.37
2016-06-17,58,54,58,29,6553,27742,-21189,4,Vegetables,4,7304,Water Shortage,Malaria,24834,Water,20601,6,Check food/donations,0.5,112.98,-365.33
2006-04-04,84,95,84,40,22815,78951,-56136,0,None,0,0,Fire,Diarrhea,8435,Internet,26831,6,Check food/donations,0.48,271.61,-668.29
2010-08-03,68,34,68,23,102679,93156,9523,34,Rice,34,57902,None,Diarrhea,14366,Internet,11183,4,Check food/donations,0.34,1509.99,140.04
2012-11-05,74,65,74,19,18638,86844,-68206,9,Rice,9,13527,None,None,0,Internet,21722,3,Check food/donations,0.26,251.86,-921.7
2016-03-22,29,37,29,30,40803,57343,-16540,0,None,0,0,Water Shortage,Fever,14002,Water,36413,10,Check food/donations,1.03,1407.0,-570.34
2016-04-11,30,18,30,14,2136,101719,-99583,12,Maize Flour,12,23316,None,Flu,6102,Gas,28459,4,Check food/donations,0.47,71.2,-3319.43
2004-04-10,35,49,35,5,62020,53426,8594,0,None,0,0,Sickness,None,0,Gas,14807,3,Stable,0.14,1772.0,245.54
1999-06-08,22,20,22,15,47017,49934,-2917,2,Maize Flour,2,3224,Power Outage,Malaria,12128,Gas,13816,7,Check food/donations,0.68,2137.14,-132.59
2016-07-09,89,44,89,35,108934,87325,21609,45,Vegetables,45,67725,Power Outage,Malaria,29366,Gas,37134,5,Check food/donations,0.39,1223.98,242.8
2014-09-16,56,15,56,14,79614,65666,13948,41,Beans,41,69167,None,Malaria,22625,Internet,36538,9,Check food/donations,0.25,1421.68,249.07
2000-12-01,67,48,67,7,88275,37828,50447,19,Rice,19,35283,None,Fever,25616,Electricity,13876,7,Check food/donations,0.1,1317.54,752.94
2019-04-20,32,10,32,8,32992,85656,-52664,22,Vegetables,22,39006,None,Flu,5189,Water,15179,9,Check food/donations,0.25,1031.0,-1645.75
2014-03-09,61,24,61,7,125923,73785,52138,37,Rice,37,60384,Sickness,None,0,Gas,16258,3,Check food/donations,0.11,2064.31,854.72
2011-09-16,32,43,32,13,42413,71083,-28670,0,None,0,0,None,Malaria,26198,Water,37576,7,Check food/donations,0.41,1325.41,-895.94
2013-05-26,100,58,100,28,37817,27630,10187,42,Maize Flour,42,69762,None,None,0,Water,15444,4,Check food/donations,0.28,378.17,101.87
2016-02-14,55,57,55,20,107692,109885,-2193,0,None,0,0,Sickness,Fever,5217,Water,19483,9,Check food/donations,0.36,1958.04,-39.87
2000-11-05,96,54,96,26,98986,39920,59066,42,Beans,42,72828,None,None,0,Water,17969,6,Check food/donations,0.27,1031.1,615.27
2015-06-21,69,95,69,27,7805,36018,-28213,0,None,0,0,None,Diarrhea,19247,Gas,31597,7,Check food/donations,0.39,113.12,-408.88
2009-02-13,76,29,76,11,7362,35916,-28554,47,Beans,47,74918,None,None,0,Water,19961,9,Check food/donations,0.14,96.87,-375.71
2003-10-22,61,34,61,11,89716,104895,-15179,27,Maize Flour,27,45873,None,Fever,29051,Gas,30765,10,Check food/donations,0.18,1470.75,-248.84
2009-04-26,42,72,42,27,25818,106202,-80384,0,None,0,0,None,None,0,Electricity,41744,6,Check food/donations,0.64,614.71,-1913.9
2001-09-13,99,49,99,14,148872,45663,103209,50,Rice,50,81700,Fire,Fever,6589,Electricity,33551,4,Check food/donations,0.14,1503.76,1042.52
2020-07-21,36,98,36,32,15730,28196,-12466,0,None,0,0,None,Fever,14630,Gas,16196,8,Check food/donations,0.89,436.94,-346.28
2018-02-06,39,30,39,13,34783,68608,-33825,9,Maize Flour,9,16839,Sickness,Flu,12117,Water,46135,10,Check food/donations,0.33,891.87,-867.31
2007-02-11,83,70,83,37,76014,42680,33334,13,Vegetables,13,21827,Sickness,Diarrhea,9425,Gas,41289,6,Check food/donations,0.45,915.83,401.61
2008-08-16,63,30,63,22,92191,41914,50277,33,Rice,33,54846,None,None,0,Gas,11265,9,Check food/donations,0.35,1463.35,798.05
2010-06-06,55,39,55,12,5399,94965,-89566,16,Beans,16,29152,Sickness,Diarrhea,17489,Gas,34134,10,Check food/donations,0.22,98.16,-1628.47
2012-05-02,50,75,50,23,137790,23680,114110,0,None,0,0,None,Flu,1383,Electricity,13165,3,Stable,0.46,2755.8,2282.2
2016-05-23,34,17,34,9,126413,102703,23710,17,Maize Flour,17,31739,None,Diarrhea,14928,Internet,28756,6,Check food/donations,0.26,3718.03,697.35
2001-12-01,41,94,41,28,6902,117156,-110254,0,None,0,0,Sickness,Malaria,28412,Internet,18155,3,Check food/donations,0.68,168.34,-2689.12
2016-11-07,94,36,94,30,100314,84995,15319,58,Beans,58,104574,None,Fever,15354,Internet,25976,9,Check food/donations,0.32,1067.17,162.97
2013-02-24,34,69,34,24,121805,38711,83094,0,None,0,0,None,None,0,Water,30225,4,Stable,0.71,3582.5,2443.94
2008-07-29,70,47,70,24,120168,118908,1260,23,Maize Flour,23,44367,None,Malaria,29772,Water,14249,5,Check food/donations,0.34,1716.69,18.0
1999-05-20,91,98,91,18,1495,70299,-68804,0,None,0,0,None,None,0,Electricity,13190,3,Check food/donations,0.2,16.43,-756.09
2002-03-21,86,78,86,27,94216,103177,-8961,8,Rice,8,14576,Power Outage,Diarrhea,24604,Water,43340,4,Check food/donations,0.31,1095.53,-104.2
2000-01-06,70,27,70,8,149258,45775,103483,43,Vegetables,43,84925,Power Outage,None,0,Internet,34444,4,Check food/donations,0.11,2132.26,1478.33
2005-01-14,59,52,59,36,44634,41238,3396,7,Beans,7,13790,Sickness,Diarrhea,4162,Water,22207,3,Check food/donations,0.61,756.51,57.56
2006-03-21,43,14,43,10,116537,72197,44340,29,Beans,29,44892,Sickness,Flu,23823,Electricity,16501,6,Check food/donations,0.23,2710.16,1031.16
2010-04-21,67,92,67,24,21767,52904,-31137,0,None,0,0,None,Flu,21944,Water,33697,6,Check food/donations,0.36,324.88,-464.73
2019-09-04,73,41,73,8,47677,69442,-21765,32,Rice,32,56832,None,Malaria,4977,Electricity,11771,9,Check food/donations,0.11,653.11,-298.15
2006-03-26,62,99,62,30,71782,67659,4123,0,None,0,0,None,None,0,Gas,41691,5,Stable,0.48,1157.77,66.5
2015-11-25,97,58,97,5,70245,95736,-25491,39,Maize Flour,39,65598,None,Diarrhea,17784,Electricity,17773,9,Check food/donations,0.05,724.18,-262.79
2008-11-11,78,88,78,39,115379,113134,2245,0,None,0,0,None,Flu,27604,Gas,35258,5,Stable,0.5,1479.22,28.78
2018-02-09,37,88,37,17,6436,26371,-19935,0,None,0,0,None,Flu,10522,Electricity,34541,6,Check food/donations,0.46,173.95,-538.78
2013-11-18,62,97,62,17,91392,87778,3614,0,None,0,0,None,Fever,10870,Gas,21084,8,Stable,0.27,1474.06,58.29
2017-02-07,90,39,90,29,77827,66622,11205,51,Maize Flour,51,97920,None,Malaria,8135,Water,14125,7,Check food/donations,0.32,864.74,124.5
2001-02-17,61,74,61,35,90859,118328,-27469,0,None,0,0,None,Malaria,1717,Electricity,31288,4,Check food/donations,0.57,1489.49,-450.31
2018-10-24,51,24,51,22,141929,68603,73326,27,Maize Flour,27,52407,Sickness,Malaria,4266,Water,14192,5,Check food/donations,0.43,2782.92,1437.76
2018-04-29,78,58,78,26,43839,103292,-59453,20,Rice,20,36700,Fire,None,0,Gas,13035,9,Check food/donations,0.33,562.04,-762.22
2015-05-27,35,69,35,37,91114,103311,-12197,0,None,0,0,None,None,0,Gas,10080,10,Check food/donations,1.06,2603.26,-348.49
2018-10-22,86,89,86,7,43671,118597,-74926,0,None,0,0,None,Flu,28982,Electricity,29130,3,Check food/donations,0.08,507.8,-871.23
2020-07-20,58,94,58,18,63773,73318,-9545,0,None,0,0,Sickness,Fever,19555,Internet,21272,5,Check food/donations,0.31,1099.53,-164.57
2019-04-06,88,72,88,30,55552,94000,-38448,16,Beans,16,26464,None,Fever,4709,Water,38117,10,Check food/donations,0.34,631.27,-436.91
2014-12-14,61,22,61,10,116849,50492,66357,39,Maize Flour,39,59865,None,Malaria,20184,Internet,31911,9,Check food/donations,0.16,1915.56,1087.82
2009-09-09,35,84,35,38,111674,103097,8577,0,None,0,0,None,Fever,698,Internet,19971,6,Stable,1.09,3190.69,245.06
2000-03-31,100,29,100,28,146621,81574,65047,71,Beans,71,137598,None,Diarrhea,13601,Water,11447,9,Check food/donations,0.28,1466.21,650.47
2005-08-11,64,75,64,29,96480,28755,67725,0,None,0,0,Sickness,Fever,10012,Electricity,35612,8,Stable,0.45,1507.5,1058.2
2012-11-01,58,62,58,16,58096,63944,-5848,0,None,0,0,None,Fever,29634,Internet,12574,3,Check food/donations,0.28,1001.66,-100.83
2004-10-23,21,19,21,16,127147,102772,24375,2,Vegetables,2,3742,None,Diarrhea,413,Gas,42307,5,Check food/donations,0.76,6054.62,1160.71
2011-03-11,75,66,75,15,7524,94444,-86920,9,Rice,9,15921,None,Flu,11274,Water,18082,9,Check food/donations,0.2,100.32,-1158.93
2013-12-05,54,33,54,31,70867,61376,9491,21,Vegetables,21,39795,None,Flu,20208,Electricity,35403,10,Check food/donations,0.57,1312.35,175.76
2014-10-15,26,28,26,21,28019,106078,-78059,0,None,0,0,None,Fever,23453,Electricity,28910,4,Check food/donations,0.81,1077.65,-3002.27
2008-05-10,54,11,54,6,11472,31464,-19992,43,Beans,43,85914,None,Flu,10290,Gas,21890,4,Check food/donations,0.11,212.44,-370.22
2017-05-02,20,72,20,22,23921,63475,-39554,0,None,0,0,None,None,0,Electricity,33107,5,Check food/donations,1.1,1196.05,-1977.7
2011-12-15,37,77,37,33,120400,101613,18787,0,None,0,0,None,Flu,17944,Gas,33134,7,Stable,0.89,3254.05,507.76
2001-09-04,94,41,94,34,64084,34160,29924,53,Beans,53,93121,None,Flu,13743,Water,20988,3,Check food/donations,0.36,681.74,318.34
2004-10-04,72,77,72,35,26754,42322,-15568,0,None,0,0,None,Fever,17669,Electricity,34115,7,Check food/donations,0.49,371.58,-216.22
2010-08-19,72,36,72,19,56105,109981,-53876,36,Beans,36,59076,Sickness,Flu,13403,Water,47771,10,Check food/donations,0.26,779.24,-748.28
2013-09-10,75,74,75,39,63264,114401,-51137,1,Vegetables,1,1627,None,Malaria,29571,Electricity,19796,8,Check food/donations,0.52,843.52,-681.83
2002-09-22,64,27,64,17,43105,102392,-59287,37,Vegetables,37,68561,Water Shortage,Diarrhea,13101,Water,10358,10,Check food/donations,0.27,673.52,-926.36
2007-11-07,83,22,83,8,92634,52535,40099,61,Rice,61,96319,None,Diarrhea,11420,Internet,32154,10,Check food/donations,0.1,1116.07,483.12
2004-12-14,53,31,53,20,84972,42184,42788,22,Rice,22,39798,None,Fever,29957,Gas,49424,4,Check food/donations,0.38,1603.25,807.32
2001-12-25,25,46,25,20,75569,115278,-39709,0,None,0,0,None,Malaria,26537,Gas,45213,10,Check food/donations,0.8,3022.76,-1588.36
2000-06-23,54,23,54,22,83953,22242,61711,31,Maize Flour,31,47523,None,None,0,Electricity,12909,7,Check food/donations,0.41,1554.69,1142.8
2009-10-28,97,47,97,36,144695,64467,80228,50,Maize Flour,50,89150,None,None,0,Water,22100,10,Check food/donations,0.37,1491.7,827.09
2007-01-23,66,27,66,23,129385,106752,22633,39,Maize Flour,39,69693,None,Malaria,15302,Internet,17552,3,Check food/donations,0.35,1960.38,342.92
2019-05-01,94,100,94,25,92335,27422,64913,0,None,0,0,Sickness,Diarrhea,22277,Internet,37441,7,Stable,0.27,982.29,690.56
2019-11-12,75,51,75,25,79872,39658,40214,24,Vegetables,24,42816,None,Fever,13000,Electricity,23352,8,Check food/donations,0.33,1064.96,536.19
2002-11-11,80,76,80,24,97984,85329,12655,4,Maize Flour,4,6976,None,Malaria,12995,Electricity,30567,4,Check food/donations,0.3,1224.8,158.19
2004-05-12,58,83,58,5,57471,51419,6052,0,None,0,0,None,Flu,11843,Electricity,17587,8,Stable,0.09,990.88,104.34
2014-02-16,55,51,55,37,113690,62920,50770,4,Maize Flour,4,7628,Sickness,Diarrhea,12608,Gas,13018,3,Check food/donations,0.67,2067.09,923.09
2001-01-14,72,25,72,6,133459,82798,50661,47,Maize Flour,47,87984,None,Malaria,22483,Water,32730,3,Check food/donations,0.08,1853.6,703.62
2015-05-31,37,33,37,5,98720,70582,28138,4,Vegetables,4,7884,Fire,Fever,21379,Internet,27462,10,Check food/donations,0.14,2668.11,760.49
2012-06-08,39,70,39,17,56913,26091,30822,0,None,0,0,None,Flu,14559,Electricity,11209,8,Stable,0.44,1459.31,790.31
2011-05-16,60,94,60,20,89579,115509,-25930,0,None,0,0,Water Shortage,None,0,Water,16982,10,Check food/donations,0.33,1492.98,-432.17
2011-11-23,90,11,90,6,15168,100486,-85318,79,Beans,79,122292,None,Diarrhea,9517,Gas,41382,10,Check food/donations,0.07,168.53,-947.98
1999-06-05,43,58,43,7,68898,72735,-3837,0,None,0,0,None,Malaria,2927,Internet,25400,7,Check food/donations,0.16,1602.28,-89.23
2002-05-25,93,56,93,21,146088,33415,112673,37,Rice,37,71336,Power Outage,Flu,25730,Electricity,10275,9,Check food/donations,0.23,1570.84,1211.54
2001-06-28,58,81,58,14,105100,68715,36385,0,None,0,0,Fire,Malaria,21346,Electricity,22116,5,Stable,0.24,1812.07,627.33
2008-04-05,28,62,28,40,121228,64371,56857,0,None,0,0,None,Malaria,23115,Water,38924,6,Stable,1.43,4329.57,2030.61
2002-04-08,66,35,66,31,80214,65705,14509,31,Vegetables,31,56730,Power Outage,Diarrhea,8223,Electricity,46723,5,Check food/donations,0.47,1215.36,219.83
2002-08-01,32,78,32,30,81535,102476,-20941,0,None,0,0,None,Malaria,15015,Electricity,18625,10,Check food/donations,0.94,2547.97,-654.41
2006-09-11,84,73,84,31,66850,108362,-41512,11,Beans,11,19998,None,None,0,Gas,32813,10,Check food/donations,0.37,795.83,-494.19
2010-10-17,29,39,29,5,130775,105816,24959,0,None,0,0,Power Outage,Fever,27731,Gas,24098,5,Stable,0.17,4509.48,860.66
2003-08-01,71,50,71,7,39261,77079,-37818,21,Beans,21,31542,None,None,0,Water,22946,8,Check food/donations,0.1,552.97,-532.65
2004-06-10,86,30,86,28,84377,55931,28446,56,Maize Flour,56,102144,None,None,0,Gas,18219,6,Check food/donations,0.33,981.13,330.77
2018-06-06,68,58,68,27,58385,21175,37210,10,Maize Flour,10,19300,Power Outage,Malaria,29305,Electricity,30911,4,Check food/donations,0.4,858.6,547.21
2019-01-17,50,15,50,6,24386,62664,-38278,35,Maize Flour,35,63245,None,None,0,Gas,28266,4,Check food/donations,0.12,487.72,-765.56
2016-12-02,21,58,21,9,65775,26689,39086,0,None,0,0,Power Outage,Malaria,25934,Water,20607,4,Stable,0.43,3132.14,1861.24
2019-07-30,66,43,66,29,46858,35163,11695,23,Maize Flour,23,38755,None,Fever,1383,Internet,46854,6,Check food/donations,0.44,709.97,177.2
1999-05-13,75,97,75,6,76661,73222,3439,0,None,0,0,Fire,Diarrhea,8658,Internet,43623,10,Stable,0.08,1022.15,45.85
2020-06-12,61,83,61,10,4125,91632,-87507,0,None,0,0,None,None,0,Electricity,11914,3,Check food/donations,0.16,67.62,-1434.54
1999-09-07,28,86,28,40,85240,28811,56429,0,None,0,0,None,Diarrhea,15557,Gas,27540,9,Stable,1.43,3044.29,2015.32
2006-11-05,51,88,51,27,50099,58388,-8289,0,None,0,0,None,Diarrhea,4679,Gas,20647,7,Check food/donations,0.53,982.33,-162.53
2010-09-06,96,92,96,17,96349,74596,21753,4,Rice,4,6112,None,None,0,Internet,38026,3,Check food/donations,0.18,1003.64,226.59
2001-01-13,52,22,52,16,31241,28022,3219,30,Maize Flour,30,46860,None,Flu,26349,Electricity,43714,7,Check food/donations,0.31,600.79,61.9
2002-06-20,46,60,46,38,73303,26651,46652,0,None,0,0,Water Shortage,Diarrhea,11445,Electricity,45993,3,Stable,0.83,1593.54,1014.17
2006-03-21,48,44,48,40,15191,60328,-45137,4,Maize Flour,4,7264,None,Malaria,3435,Electricity,28577,8,Check food/donations,0.83,316.48,-940.35
2008-05-16,58,54,58,11,73038,80126,-7088,4,Maize Flour,4,7368,None,None,0,Electricity,16428,3,Check food/donations,0.19,1259.28,-122.21
2011-03-19,84,35,84,18,1681,65907,-64226,49,Rice,49,84133,None,Malaria,25206,Water,29796,3,Check food/donations,0.21,20.01,-764.6
2013-10-15,39,86,39,17,17045,52549,-35504,0,None,0,0,None,Flu,27058,Gas,48269,7,Check food/donations,0.44,437.05,-910.36
1999-09-14,69,50,69,38,49059,47262,1797,19,Vegetables,19,36423,None,Malaria,26402,Internet,17686,3,Check food/donations,0.55,711.0,26.04
2014-03-11,34,82,34,7,101963,39367,62596,0,None,0,0,Power Outage,None,0,Gas,35203,3,Stable,0.21,2998.91,1841.06
2019-02-18,65,75,65,31,122660,68957,53703,0,None,0,0,Sickness,None,0,Gas,12954,4,Stable,0.48,1887.08,826.2
2006-03-24,96,76,96,12,140964,51227,89737,20,Vegetables,20,36880,None,Fever,5275,Internet,40777,3,Check food/donations,0.12,1468.38,934.76
2009-03-20,87,72,87,21,14479,76037,-61558,15,Rice,15,25155,None,Malaria,2207,Water,15873,3,Check food/donations,0.24,166.43,-707.56
2002-06-30,95,73,95,34,128779,81317,47462,22,Beans,22,36520,Fire,Fever,6323,Electricity,39331,9,Check food/donations,0.36,1355.57,499.6
2015-03-01,98,66,98,24,13940,44633,-30693,32,Beans,32,63584,None,Diarrhea,13978,Internet,22936,3,Check food/donations,0.24,142.24,-313.19
1999-09-26,25,12,25,6,142546,68002,74544,13,Vegetables,13,21827,Sickness,None,0,Gas,48216,4,Check food/donations,0.24,5701.84,2981.76
1999-11-13,41,96,41,36,73256,105588,-32332,0,None,0,0,Fire,Flu,917,Internet,38455,6,Check food/donations,0.88,1786.73,-788.59
2009-05-11,32,96,32,31,35604,21444,14160,0,None,0,0,None,Fever,10040,Gas,36284,7,Stable,0.97,1112.62,442.5
2015-05-17,47,64,47,20,48620,82963,-34343,0,None,0,0,None,Flu,20628,Electricity,19050,8,Check food/donations,0.43,1034.47,-730.7
2013-08-22,31,58,31,12,112220,75146,37074,0,None,0,0,Fire,None,0,Water,22122,5,Stable,0.39,3620.0,1195.94
2019-03-22,44,64,44,30,73183,86321,-13138,0,None,0,0,None,Flu,4336,Internet,10380,7,Check food/donations,0.68,1663.25,-298.59
2006-05-01,49,14,49,11,73475,78019,-4544,35,Rice,35,53900,None,Malaria,10828,Internet,46112,5,Check food/donations,0.22,1499.49,-92.73
1999-03-27,43,20,43,9,6487,54725,-48238,23,Beans,23,35673,None,Flu,1712,Electricity,10718,6,Check food/donations,0.21,150.86,-1121.81
2008-02-22,86,62,86,34,26924,103179,-76255,24,Vegetables,24,37992,None,Diarrhea,2549,Electricity,36859,3,Check food/donations,0.4,313.07,-886.69
2009-12-02,78,68,78,30,144884,80641,64243,10,Maize Flour,10,19840,None,Fever,10574,Water,37896,6,Check food/donations,0.38,1857.49,823.63
2013-11-19,36,72,36,10,30277,52213,-21936,0,None,0,0,Sickness,Malaria,9367,Water,36191,5,Check food/donations,0.28,841.03,-609.33
2002-04-28,100,74,100,11,57978,45303,12675,26,Rice,26,51168,None,Flu,16042,Electricity,24470,4,Check food/donations,0.11,579.78,126.75
2010-06-12,60,42,60,9,32456,85495,-53039,18,Maize Flour,18,27504,None,Malaria,17848,Internet,38713,10,Check food/donations,0.15,540.93,-883.98
1999-10-16,76,33,76,30,50450,84952,-34502,43,Maize Flour,43,80840,None,Flu,22226,Gas,34962,10,Check food/donations,0.39,663.82,-453.97
2014-12-24,33,39,33,8,50909,33701,17208,0,None,0,0,None,Malaria,29466,Gas,47561,9,Stable,0.24,1542.7,521.45
2004-12-27,57,37,57,28,52764,91904,-39140,20,Rice,20,34320,None,Malaria,15674,Water,41718,3,Check food/donations,0.49,925.68,-686.67
2007-02-23,82,28,82,20,100896,41304,59592,54,Rice,54,94014,None,Fever,10907,Gas,49147,10,Check food/donations,0.24,1230.44,726.73
2002-05-14,73,87,73,9,88787,117725,-28938,0,None,0,0,None,Fever,16121,Water,33278,4,Check food/donations,0.12,1216.26,-396.41
2018-06-16,70,82,70,35,133383,71962,61421,0,None,0,0,Power Outage,Malaria,14789,Electricity,48109,3,Stable,0.5,1905.47,877.44
2005-06-07,82,51,82,27,77568,65987,11581,31,Maize Flour,31,60388,None,None,0,Internet,41267,4,Check food/donations,0.33,945.95,141.23
1999-06-23,37,52,37,24,62248,90705,-28457,0,None,0,0,Fire,Fever,8023,Internet,45764,6,Check food/donations,0.65,1682.38,-769.11
2020-06-06,79,94,79,9,4145,96400,-92255,0,None,0,0,Power Outage,None,0,Internet,39013,10,Check food/donations,0.11,52.47,-1167.78
2017-10-10,25,52,25,34,6611,104789,-98178,0,None,0,0,None,Diarrhea,12066,Internet,12759,8,Check food/donations,1.36,264.44,-3927.12
2007-02-08,51,80,51,5,79590,97487,-17897,0,None,0,0,None,Diarrhea,1590,Gas,39389,9,Check food/donations,0.1,1560.59,-350.92
2003-04-23,57,60,57,17,29539,45496,-15957,0,None,0,0,None,Diarrhea,19096,Internet,21741,7,Check food/donations,0.3,518.23,-279.95
1999-08-27,59,79,59,11,45667,34860,10807,0,None,0,0,None,Fever,458,Gas,40425,6,Stable,0.19,774.02,183.17
2007-02-04,35,99,35,28,16383,89695,-73312,0,None,0,0,Power Outage,Malaria,1883,Electricity,43494,6,Check food/donations,0.8,468.09,-2094.63
2006-07-29,22,39,22,9,115646,71460,44186,0,None,0,0,Water Shortage,None,0,Water,35126,8,Stable,0.41,5256.64,2008.45
2006-07-10,30,72,30,15,121753,94606,27147,0,None,0,0,None,None,0,Water,21206,6,Stable,0.5,4058.43,904.9
2020-11-14,70,92,70,16,94236,118824,-24588,0,None,0,0,Sickness,Diarrhea,18944,Internet,38012,7,Check food/donations,0.23,1346.23,-351.26
2006-02-04,25,68,25,12,111850,79320,32530,0,None,0,0,None,None,0,Internet,46403,4,Stable,0.48,4474.0,1301.2
2019-01-05,82,87,82,27,86052,45804,40248,0,None,0,0,None,Malaria,29509,Water,39976,3,Stable,0.33,1049.41,490.83
2002-11-02,83,64,83,37,55978,90167,-34189,19,Beans,19,36841,None,Malaria,6645,Electricity,41193,3,Check food/donations,0.45,674.43,-411.92
2016-03-30,71,63,71,39,64276,96399,-32123,8,Maize Flour,8,15984,None,Diarrhea,24053,Internet,44884,4,Check food/donations,0.55,905.3,-452.44
2000-07-23,48,35,48,11,79106,23293,55813,13,Maize Flour,13,23101,None,Flu,9118,Internet,23828,3,Check food/donations,0.23,1648.04,1162.77
2000-10-28,38,46,38,17,124970,49826,75144,0,None,0,0,None,None,0,Internet,15137,10,Stable,0.45,3288.68,1977.47
2016-10-08,53,91,53,21,69977,44522,25455,0,None,0,0,None,Fever,17498,Internet,31945,10,Stable,0.4,1320.32,480.28
2004-06-23,81,45,81,13,127688,79734,47954,36,Rice,36,69444,None,None,0,Electricity,23976,9,Check food/donations,0.16,1576.4,592.02
2013-08-27,32,25,32,22,119346,81665,37681,7,Rice,7,12194,None,Diarrhea,11103,Gas,29969,5,Check food/donations,0.69,3729.56,1177.53
2002-08-12,85,49,85,19,61999,95729,-33730,36,Rice,36,71712,None,Malaria,7502,Electricity,41453,7,Check food/donations,0.22,729.4,-396.82
1999-10-28,57,55,57,21,129233,88994,40239,2,Maize Flour,2,3334,None,Diarrhea,11808,Gas,49435,4,Check food/donations,0.37,2267.25,705.95
2006-08-31,96,87,96,23,106483,37044,69439,9,Beans,9,16551,Power Outage,Flu,17644,Electricity,47081,9,Check food/donations,0.24,1109.2,723.32
2001-04-15,100,76,100,23,135755,101962,33793,24,Vegetables,24,40632,None,Flu,27805,Water,17033,5,Check food/donations,0.23,1357.55,337.93
2014-05-17,91,81,91,37,8515,105146,-96631,10,Maize Flour,10,18610,Power Outage,Malaria,22991,Water,48471,5,Check food/donations,0.41,93.57,-1061.88
2012-09-25,50,72,50,30,117351,29986,87365,0,None,0,0,None,Flu,23475,Gas,33990,8,Stable,0.6,2347.02,1747.3
2005-01-25,43,70,43,15,76636,45325,31311,0,None,0,0,None,Diarrhea,14776,Internet,45258,6,Stable,0.35,1782.23,728.16
2005-03-09,96,46,96,14,99937,113232,-13295,50,Rice,50,79800,None,None,0,Internet,48369,5,Check food/donations,0.15,1041.01,-138.49
2015-06-28,92,49,92,14,70336,62388,7948,43,Vegetables,43,67166,Sickness,Malaria,6767,Water,46798,7,Check food/donations,0.15,764.52,86.39
2001-09-24,73,74,73,32,51509,46671,4838,0,None,0,0,None,Fever,25883,Water,38241,9,Stable,0.44,705.6,66.27
2003-11-30,65,86,65,34,1090,20454,-19364,0,None,0,0,None,None,0,Electricity,42478,4,Check food/donations,0.52,16.77,-297.91
2000-12-16,46,30,46,28,140244,99519,40725,16,Maize Flour,16,27248,None,None,0,Internet,20642,10,Check food/donations,0.61,3048.78,885.33
1999-01-24,100,51,100,8,4349,30912,-26563,49,Beans,49,96432,None,Malaria,24869,Gas,21838,7,Check food/donations,0.08,43.49,-265.63
2002-03-22,20,72,20,12,56921,106749,-49828,0,None,0,0,None,None,0,Water,20007,3,Check food/donations,0.6,2846.05,-2491.4
2011-09-18,86,65,86,8,72171,46547,25624,21,Beans,21,41559,None,Diarrhea,10372,Internet,10467,3,Check food/donations,0.09,839.2,297.95
2013-01-12,61,78,61,23,15910,41147,-25237,0,None,0,0,None,Fever,23993,Water,10420,7,Check food/donations,0.38,260.82,-413.72
2014-07-02,59,34,59,34,82615,83742,-1127,25,Rice,25,45200,None,Malaria,29795,Gas,48066,8,Check food/donations,0.58,1400.25,-19.1
2000-01-02,30,19,30,11,121771,51905,69866,11,Beans,11,19899,None,Fever,21843,Gas,32558,10,Check food/donations,0.37,4059.03,2328.87
2007-02-27,66,93,66,34,35376,102412,-67036,0,None,0,0,None,Diarrhea,8118,Water,26661,6,Check food/donations,0.52,536.0,-1015.7
2018-02-06,70,24,70,10,124042,25350,98692,46,Rice,46,75486,Sickness,Flu,17665,Water,13909,4,Check food/donations,0.14,1772.03,1409.89
2009-10-14,95,91,95,9,69589,75606,-6017,4,Maize Flour,4,6216,None,None,0,Electricity,21290,8,Check food/donations,0.09,732.52,-63.34
2017-06-10,62,36,62,5,29380,62810,-33430,26,Rice,26,39494,Sickness,Fever,4622,Gas,37510,9,Check food/donations,0.08,473.87,-539.19
2017-06-04,61,32,61,30,40923,91153,-50230,29,Beans,29,55999,Water Shortage,Malaria,6559,Gas,28875,5,Check food/donations,0.49,670.87,-823.44
2008-03-15,40,24,40,12,11661,87141,-75480,16,Beans,16,26944,Power Outage,Flu,17724,Water,43260,5,Check food/donations,0.3,291.52,-1887.0
